tanggal,komoditas,foto_komoditas,harga,satuan
2023-10-12,Apel Lokal,https://disdag.samarindakota.go.id/assets/frontend/img/placeholder.png,61000,Kg
2023-10-12,Bawang Merah,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2018-10/09/bawang-merah.png,58800,Kg
2023-10-12,Bawang Putih,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2019-12/16/bawang-putih.png,56700,Kg
2023-10-12,Cabe Biasa/Tiung,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2019-12/16/cabe-biasatiung.png,42800,Kg
2023-10-12,Cabe Keriting,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2019-12/16/cabe-keriting.png,71400,Kg
2023-10-12,Cabe Merah Besar,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2019-12/16/cabe-merah-besar.png,51700,Kg
2023-10-12,Cabe Rawit,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2019-12/16/cabe-rawit.png,46200,Kg
2023-10-12,Jagung Pipilan Kwalitas Satu,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2021-08/09/jagung-pipilan-kwalitas-satu.png,51400,Kg
2023-10-12,Jagung Pipilan Lokal,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2021-08/09/jagung-pipilan-lokal.png,40500,Kg
2023-10-12,Jeruk Lokal,https://disdag.samarindakota.go.id/assets/frontend/img/placeholder.png,56100,Kg
2023-10-12,Kacang Hijau,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2019-12/16/kacang-hijau.png,53500,Kg
2023-10-12,Kacang Kedelai Lokal,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2019-12/16/kacang-kedelai-lokal.png,53200,Kg
2023-10-12,Kacang Panjang,https://disdag.samarindakota.go.id/assets/frontend/img/placeholder.png,56000,Kg
2023-10-12,Kacang Tanah,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2021-08/09/kacang-tanah.png,52600,Kg
2023-10-12,Kangkung,https://disdag.samarindakota.go.id/assets/frontend/img/placeholder.png,45300,Kg
2023-10-12,Kentang,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2018-10/09/kentang.png,60500,Kg
2023-10-12,Ketela Pohon,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2019-12/16/ketela-pohon.png,60400,Kg
2023-10-12,Kol,https://disdag.samarindakota.go.id/assets/frontend/img/placeholder.png,64600,Kg
2023-10-12,Tomat,https://disdag.samarindakota.go.id/storage/PIHPS/Komoditas/2018-10/09/tomat.png,58700,Kg
2023-10-12,Wortel Impor,https://disdag.samarindakota.go.id/assets/frontend/img/placeholder.png,51000,Kg
2023-10-12,Wortel Lokal,https://disdag.samarindakota.go.id/assets/frontend/img/placeholder.png,35800,Kg
